S#,Title,Location,State,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
174,Los Angeles Police Department,"Irvine, California",California,2/3/13,,Open+Close,Coworker's Family,anger,"On February 3, 2013, a 33-year old former LAPD police officer shot and killed the daughter of a former LAPD captain and her fiance in a parking garage in Irvine, California. The shooter fled the scene and a large manhunt followed until February 12, 2013, during a stand-off  with police at a cabin in the San Bernardino Mountains. The shooter killed one police officer and injured another one before he committed suicide. It is not clear if he took his life before or after the police started to burn down the cabin where he was holed up.",4,2,7,1,33,,,Yes,Black American or African American,Male,33.67803464,-117.773628
175,Phoenix Law Firm,"Phoenix, Arizona",Arizona,1/30/2013,Entrance of building,Open,random,psycho,"On January 30, 2013, a 70-year old man attended a mediation session at a law firm in Phoenix, Arizona. At the end of the session he shot three people at the entrance of the building, killing the two man involved in the session with him and wounding a third person. The shooter fled the scene, firing at a man who followed him. He later died from a self-inflicted gunshot wound.",3,1,3,0,70,,,Unknown,White American or European American,Male,33.57145875,-112.0904854
176,South Valley Residence,"South Valley, Albuquerque, New Mexico",New Mexico,1/19/2013,Home,Close,Family,psycho,"On January 19, 2013, a 15-year old homeschooled student shot and killed his mother and three younger siblings in their residential home in South Valley, New Mexico. The shooter then waited up five hours for his father, a former pastor, to arrive home. When the father got home, the son shot him several times and killed him. Apparently, he was planning to go on a killing spree afterwards. Instead he went to church and was later arrested.",5,0,5,0,15,,,Yes,Some other race,Male,35.15290522,-106.7791378
177,Sandy Hook Elementary School,"Newtown, Connecticut",Connecticut,12/14/2012,,Open+Close,Family+students,terrorism,"On December 14, 2012, a 20-year old shot and killed his mother at their home in Newtown, Connecticut. He then travelled to Sandy Hook Elementary School killing twenty children and six adult staff members and injuring two others before killing himself. Court documents showed that the school shooting had occurred in the space of less than five munities with 156 shots fired.",28,2,29,0,20,,,Yes,White American or European American,Male,41.41190846,-73.31196267
178,Clackamas Town Center,"Happy Valley, Oregon",Oregon,12/11/12,Shopping Mall,Close,random,terrorism,"On December 11, 2012, an unemployed 22-year old run into Clackamas Town Center, a shopping center outside the City of Portland, Oregon. The gunman opened fire on shoppers and employees killing two people and seriously wounding a third person before committing suicide.",3,1,3,0,22,0,,No,Some other race,Male,45.44853107,-122.5440133
179,Azana Spa in Brookfield,"Brookfield, Wisconsin",Wisconsin,10/21/2012,Azana Spa in Brookfield,Close,Ex-Wife,psycho,"On October 21, 2012, a 45-year old man went to Azana Spa in Brookfield, Wisconsin, where his estranged wife worked. He shot and killed his ex-wife and two of her co-workers and injured four others before committing suicide.",4,4,7,0,45,,,No,Black American or African American,Male,43.06396691,-88.12299758
181,Accent Signage Systems in Minneapolis,"Minneapolis, Minnesota",Minnesota,9/27/2012,Accent Signage Systems Building,Close,Ex-Coworkers,unemployement,"On September 27, 2012, a 36-year old man recently fired at Accent Signage Systems in Minneapolis, went into the firm's building killing six people and injuring two others. The gunman then turned the gun on himself.",7,2,8,0,36,0,,Yes,White American or European American,Male,44.96358722,-93.26783687
182,Sikh Temple in Wisconsin,"Oak Creek, Wisconsin",Wisconsin,8/5/12,Sikh Temple,Close,Sikhs,racism,"On August 5, 2012, a 40-year old US Army veteran and white supremacist opened fire in a Sikh Temple in Oak Creek, Wisconsin fatally shooting six people and wounded four others. The shooter took his life by shooting himself after he was shot in the stomach by a responding police officer. His girlfriend had broken up with him very recently.",7,4,10,0,40,1,Army veteran,No,White American or European American,Male,42.88027442,-87.90087079
183,Aurora theater shooting,"Aurora, Colorado",Colorado,7/20/2012,Movie Theatre,Close,random,terrorism,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,0,24,,,Yes,white,Male,39.709283,-104.823488
184,University Heights Apartments in Auburn,"Auburn, Alabama",Alabama,6/9/12,Apartment Complex,Close,Students,terrorism,"On June 9, 2012, a 22-year old man went to a party in an off-campus apartment complex in Auburn, Alabama. Three people, including two former Auburn University football players, were killed and three others were wounded. The shooter fled the scene and turned himself in a few days later.",3,3,6,0,22,,,Unknown,Black American or African American,Male,32.60598014,-85.48989253
185,Cafe in Seattle,"Seattle, Washington",Washington,5/30/2012,,Open+Close,random,psycho,"On May 30, 2012, a 40-year old man went to a coffee shop in Seattle, Washington, where he was asked to leave due to his belligerent behaviour the previous week. The man opened fire and killed four people and injured another one. He then fled and later killed a female motorist, taking off with her SUV. Five hours later, while he was being confronted by police, he killed himself with a gunshot.",6,1,6,0,40,,,Yes,White American or European American,Male,47.62199575,-122.323646
186,Seattle cafe shooting,"Seattle, Washington",Washington,5/20/2012,,Open+Close,random,psycho,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",6,1,7,0,40,,,Yes,white,Male,47.6038321,-122.3300624
187,"North Tulsa, Oklahoma","Tulsa, Oklahoma",Oklahoma,4/6/12,"Tulsa, Oklahoma",,black men,racism,"On April 6, 2012, a 19-year old and a 32-year old man went on a deadly shooting spree in Tulsa, Oklahoma, shooting black men at random in an apparently racially motivated attack. Three men died and two were wounded. The victims were chosen at random.",3,2,5,0,"19,32",,,No,White American or European American,Male,36.13543238,-95.91316117
188,Oikos University killings,"Oakland, California",California,4/2/12,Nursing Classroom,Close,random,terrorism,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,0,43,,,Yes,Asian,Male,37.8043808,-122.2708166
189,Chardon High School,"Chardon, Ohio",Ohio,2/27/2012,Chardon High Scool,Close,Students,terrorism,"On February 27, 2012, a 17-year old student entered Chardon High School in Chardon, Ohio, shooting  students in the cafeteria and in the hallway, leaving three students dead and three injured. He then was chased out of the school by a teacher and was arrested outside the school.",3,3,6,0,17,,,Yes,White American or European American,Male,41.58025541,-81.20812625
190,Su Jung Health Sauna shooting,"Norcross, Georgia",Georgia,2/22/2012,Spa,Close,Family,anger,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",5,0,5,0,59,,,Yes,Asian,Male,33.9412127,-84.2135309
192,Salon Meritage,"Seal Beach, California",California,10/12/11,Hair Salon,Open+Close,Ex-Wife,anger,"On October 12, 2011, a 41-year old allegedly opened fire at a hair salon in Seal Beach, California, where his former wife worked. Eight people inside the salon and one person in the parking lot were shot, and only one victim survived. The shooter was later arrested about half a mile away from the salon. He argued earlier that day over the phone with his ex-wife over a custody dispute regarding their 8-year old son.",8,1,9,0,41,,,Yes,White American or European American,Male,33.75432632,-118.0715378
193,IHOP shooting,"Carson City, Nevada",Nevada,9/6/11,International House of Pancakes Restaurant,Close,random,terrorism,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound.",5,7,12,0,32,,,Yes,Latino,Male,39.1637984,-119.7674034
194,Residences in Grand Rapids,"Grand Rapids, Michigan",Michigan,7/7/11,,Open+Close,Ex-Wife & Family,psycho,"On July 7, 2011, a 34-year old man went to two homes on a shooting rampage, killing his estranged wife, their daughter, his former girlfriend, and members of the victims' families. The shooter kept shooting at random as he fled by car and followed and shot another ex-girlfriend while she was driving on her car. The gunman was chased by police that forced him to exit his vehicle and ran on foot, entering a random residence where he took three hostages. He ended releasing the hostages and committing suicide.",8,2,9,0,34,,,Yes,Black American or African American,Male,42.96920434,-85.66008902
195,Southern Union State Community College,"Opelika, Alabama",Alabama,4/6/11,Opelika campus of Southern Union State Community College in Alabama,Open,Ex-Wife & Family,anger,"On April 6, 2011, a 34-year old man went to the Opelika campus of Southern Union State Community College in Alabama, where his former wife was a student. He fired into a car and shot and killed his mother-in-law and injured his estranged wife, her grandmother, and her 4-year old daughter. Hours later returned to the crime scene and confessed to a photographer that he was the shooter. He was later arrested by the police.",1,3,4,0,34,,,Yes,White American or European American,Male,32.66240106,-85.37706931
196,Youngstown State University,"Youngstown, Ohio",Ohio,2/6/11,fraternity house party,Close,random,anger,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.",1,11,12,0,"19,22",,,Unknown,Black American or African American,Male,41.09933958,-80.64631705
197,Tucson shooting,"Tucson, Arizona",Arizona,1/8/11,,Open,Congresswoman,terrorism,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested.",6,13,19,0,22,,,Yes,white,Male,32.2217429,-110.926479
198,Hartford Beer Distributor shooting,"Manchester, Connecticut",Connecticut,8/3/10,Workplace,Close,,frustration,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",9,2,11,0,34,,,No,black,Male,41.7759324,-72.5214755
199,University of Alabama in Huntsville,"Huntsville, Alabama",Alabama,2/12/10,University of Alabama,Close,Coworkers,psycho,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",0,3,6,0,44,1,University of Alabama,No,White American or European American,Female,34.72827538,-86.6723055
200,Coffee shop police killings,"Parkland, Washington",Washington,11/29/2009,Coffee Shop,Close,Policeman,revenge,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,4,37,,,Yes,black,Male,47.155846,-122.437031
201,Parkland Coffee Shop,"Lakewood, Washington",Washington,11/29/2009,Coffee Shop,Close,Policeman,revenge,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.",5,0,4,4,37,,,Yes,Black American or African American,Male,47.16267579,-122.5296574
202,Fort Hood Army Base,"Fort Hood, Texas",Texas,11/5/09,Fort Hood Army Post,Close,random,terrorism,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",13,32,45,0,39,1,U.S Army,Yes,White American or European American,Male,31.13814354,-97.77797804
203,Binghamton shootings,"Binghamton, New York",New York,4/3/09,American Civic Association Centre,Close,random,terrorism,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,0,41,,,Yes,Asian,Male,42.0986867,-75.9179738
204,Carthage nursing home shooting,"Carthage, North Carolina",North Carolina,3/29/2009,Nursing Home,Close,Ex-Wife,psycho,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,0,45,,,Yes,white,Male,35.345802,-79.4170543
205,"Rivermark, Santa Clara, California","Santa Clara, California",California,3/29/2009,Home,Close,Family,psycho,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",6,1,6,0,42,1,Yahoo,No,Asian American,Male,37.36463172,-121.9679315
206,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",North Carolina,3/29/2009,Nursing Home,Close,Ex-Wife,psycho,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.",8,2,10,0,45,,,Yes,White American or European American,Male,35.33985609,-79.41381725
207,"Geneva County, Alabama","Geneva, Alabama",Alabama,3/10/09,,Open+Close,random,psycho,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",11,6,16,0,28,,,No,White American or European American,Male,31.04367594,-85.8763466
208,"Covina, California","Covina, California",California,12/24/2008,Home,Close,Family,psycho,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",10,2,11,0,45,,,No,White American or European American,Male,34.09026669,-117.8819958
209,University of Central Arkansas,"Conway, Arkansas",Arkansas,10/26/2008,Dormitory,Close,Students,terrorism,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",0,1,3,0,19,,,No,Black American or African American,Male,35.08130744,-92.43278275
210,South Mountain Community College,"Phoenix, Arizona",Arizona,7/24/2008,South Mountain Community College,Close,random,anger,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",0,3,3,0,24,,,No,Black American or African American,Male,33.57145875,-112.0904854
